Effective.date,S.P.500,Narcissus.Core.Equity.Sustainability.Fund..NAV.in...,Pietro.Advisory.Sustainable.Large.Cap.ETF..NAV.in...,Dow.Jones.U.S..Large.Cap.Total.Stock.Market.Index,S.P.500.Energy..Sector.,S.P.500.Utilities..Sector.,Effective.date,S.P.500.Communication.Services..Sector.,S.P.500.Consumer.Discretionary..Sector.,S.P.500.Consumer.Staples..Sector.,S.P.500.Financials..Sector.,S.P.500.Health.Care..Sector.,S.P.500.Industrials..Sector.,S.P.500.Information.Technology..Sector.,S.P.500.Materials..Sector.,S.P.500.Real.Estate..Sector.
1/9/2021,4524.09,90.45,141.47,10802.24,356.8,351.38,1/9/2021,288.46,1467.67,751.91,633.34,1573.95,878.46,2786.8,535.04,302.91
1/10/2021,4357.04,95.75,136.05,10394.39,408.94,324.46,1/10/2021,272.81,1438.51,716.41,634.54,1485,838.5,2661.54,504.57,280.99
1/11/2021,4613.67,89.71,143.91,11015.28,443.11,341.18,1/11/2021,273.31,1608.8,741.67,669.66,1557.2,886,2834.68,535.62,299.43
1/12/2021,4513.04,93.07,140.51,10695.11,406.82,333.13,1/12/2021,255.73,1585.73,728.73,623.42,1507.59,838.37,2919.73,524.88,291.97
3/1/2022,4796.56,88.39,149,11323.15,435.83,360.29,3/1/2022,268.97,1655.17,804.55,658.13,1627.82,887.59,3086.75,561.82,321.63
1/2/2022,4546.54,84.92,140.8,10689.85,520.75,347.18,1/2/2022,253.61,1463.56,791.88,658.84,1534.81,864.43,2850.67,539.44,294.83
1/3/2022,4306.26,87.68,133.44,10133.5,540.47,340.63,1/3/2022,230.09,1376.75,775.79,616.13,1504.38,829.85,2647.28,510.9,281.27
1/4/2022,4545.86,80.46,140.7,10678.34,586.89,383.62,1/4/2022,237.17,1465.81,801.38,636.27,1609.25,864.37,2789.45,559.73,308.54
2/5/2022,4155.38,79.52,128.49,9733.11,580.24,358.1,2/5/2022,202.83,1289.46,800.04,573.82,1508.12,805.92,2516.69,532.21,283.96
1/6/2022,4101.23,74.16,126.41,9561.64,669.6,375.11,1/6/2022,200.16,1199.49,762.06,578.63,1516.03,793.32,2444.75,533.52,273.4
1/7/2022,3825.33,80.05,118.31,8918.52,554.1,365.29,1/7/2022,187.29,1098.96,760.77,530.85,1512.47,745.11,2228.5,466.26,260.53
1/8/2022,4118.63,76.63,127.18,9605.71,585.66,376.03,1/8/2022,191.74,1288.07,782.83,555.04,1530.65,809.29,2517.48,487.31,275.02
1/9/2022,3966.85,68.89,122.43,9251.49,597.72,381.26,1/9/2022,186.38,1231.63,764.38,549.81,1475.12,784.43,2353.44,466.75,262.56
3/10/2022,3678.43,74.31,113.56,8584.58,584.45,342.46,3/10/2022,166.83,1125.04,707.87,518.7,1441.49,722,2145.31,442.32,230.15
1/11/2022,3856.1,72.97,118.62,8990.98,696.69,340.55,1/11/2022,158.93,1109.34,755.15,566.21,1547.57,797.24,2221.76,467.22,229.76
1/12/2022,4076.57,68.86,125.37,9492.74,691.37,360.58,1/12/2022,173.45,1132.42,800.38,598.13,1622.56,858.03,2373.66,519.55,245.05
3/1/2023,3824.14,72.64,117.76,8889.73,647.97,358.5,3/1/2023,161.59,999.54,777.29,571.88,1580.97,833.12,2150.31,489.04,233.09
1/2/2023,4119.21,70.77,126.81,9616.1,677.53,351.81,1/2/2023,184.49,1178.1,776.77,608.01,1560.94,868.1,2427.67,536.88,257.12
1/3/2023,3951.39,73.96,121.67,9228.29,650.37,323.16,1/3/2023,172.47,1115.49,746.03,590.77,1477.49,855.08,2360.87,518.32,236.2
3/4/2023,4124.51,75.1,126.83,9593.67,666.07,341.52,3/4/2023,192.54,1153.35,784.39,536.36,1527.04,858.21,2637.78,511.23,232.56
1/5/2023,4167.87,75.13,128.13,9673.8,646.97,350.98,1/5/2023,198.2,1140.15,807.92,549.94,1564.51,850.77,2654.81,506.87,234.56
